Registrant ID,Registrant Name,candidate_match_name,candidate_id,entityId,reportId1
01072775,Wiedmeyer for Wisconsin,Sandy Wiedmeyer,s-wiedmeyer1,12184927,136306
01072772,Matt Philibert for State Assembly,Matt Philibert,m-philibert1,12184882,135737
01072765,Wicklund for Assembly,Steve Wicklund,s-wicklund1,12184685,135782
01072760,Christopher Dean for Wisconsin,Christopher Dean,c-dean1,12184555,136217
01072754,Mibesol Reza Campaign ,Mimi D. Reza,m-reza1,12183977,136206
01072750,Ismael Luna for Assembly,Ismael Luna,i-luna1,12183906,135752
01072741,Joey4Wisconsin,Joey Marschall,j-marschall1,12169632,135548
01072739,Tony Castañeda,Tony Castañeda,t-castañeda1,12168449,136033
01072735,John Rindy for District 49,John Rindy,j-rindy1,12164720,135676
01072731,Friends of David Sanchez,David Sanchez,d-sanchez1,12161697,136160
01072728,Jeremiah Fredrickson for State Assembly,Jeremiah Fredrickson,j-fredrickson1,12161639,135356
01072723,Friends of Ben Brist,Ben Brist,b-brist1,12160243,135488
01072722,Brayden Myer for Freedom,Brayden Myer,b-myer1,12160237,136195
01072720,Friends of Bridget for Wisconsin,Bridget Maniaci,b-maniaci1,12160184,136224
01072713,Terri Wenkman for WI Assembly District 38,Terri Wenkman,t-wenkman1,12156696,135062
01072709,Kevin Knoke for Assembly,Kevin Knoke,k-knoke1,12154548,136288
01072699,Friends of David Liners,David Liners,d-liners1,12146614,135135
01072686,Dan Bukiewicz for Assembly,Daniel J. Bukiewicz,d-bukiewicz1,12066647,136253
01072678,JON Dale ALECKSON,Jon Aleckson,j-aleckson1,12050369,135918
01072673,Friends of John Kroll,John Kroll,j-kroll1,12049265,136299
01072671,Mike Roberts for State Senate,Mike Roberts,m-roberts1,12047272,136363
01072666,Thompson For 67th ,Indiana Thompson,i-thompson1,12044310,135459
01072662,Friends of Ben Gruber,Ben Gruber,b-gruber1,12037721,136298
01072615,Brennan for Wisconsin,Joel Brennan,j-brennan1,11966062,136304
01072610,Brandy for Wisconsin,Brandy Tollefson,b-tollefson1,11965003,136236
01072608,Stephen Tryon 4 Wisconsin,Stephen Tryon,s-tryon1,11964924,136196
01072605,David Schupbach For State Assembly 2026,David Schupbach,d-schupbach1,11964896,136030
01072598,Zoe Sullivan for Wisconsin,Zoe Sullivan,z-sullivan1,11963066,135244
01072596,Friends of Josh Mittness ,Josh Mittness,j-mittness1,11959859,136077
01072594,Camacho for Wi,Rico Camacho,r-camacho1,11959800,136358
01072587,Friends Of Nick Polce LLC ,Nick Polce,n-polce1,11959690,136377
01072579,Ray for Wisconsin,Charly Ray,c-ray1,11959444,136080
01072574,Dylan for Wisconsin,Dylan Helmenstine,d-helmenstine1,11957876,135760
01072566,Isaia for Wisconsin,Isaia Ben-Ami,i-benami1,11957692,136334
01072561,Rob 4 The People,Robert Longwell-Grice,r-longwellgrice1,11957570,135702
01072554,Friends of John Perryman,John Perryman,j-perryman1,11957402,135597
01072547,Friends of Elisha King,Elisha King,e-king1,11957212,136291
01072544,Missy For Governor ,Missy Hughes,m-hughes1,11957166,136359
01072528,Dina Nina For Wisconsin,Dina Nina Martinez-Rutherford,d-martinezrutherford1,11956899,135750
01072527,Friends of Lawanda Chambers,Lawanda Chambers,l-chambers1,11956885,136293
01072516,Friends of Trevor Jung,Trevor Jung,t-jung1,11956743,135817
01072509,Juliana for the People,Juliana Bennett,j-bennett1,11954805,136132
01072502,Corrine For 17,Corrine Hendrickson,c-hendrickson1,11954497,135274
01072497,Sasha Ripley for Wisconsin,Sasha Ripley,s-ripley1,11948571,135314
01072488,Friends for McGraw,Paul McGraw,p-mcgraw1,11948316,135496
00106930,Pullen For Wisconsin,Reive Pullen,r-pullen1,11948245,136397
00106928,Friends of Amy Zimmerman,Amy Zimmerman,a-zimmerman1,11948217,136157
00106924,FRIENDS OF HELMER FOR ASSEMBLY,Julie Helmer,j-helmer1,11948185,135160
00106925,Committee to Elect Andy Manske for Governor,Andy Manske,a-manske1,11948172,136230
00106920,Mike Van Someren for Wisconsin,Mike Van Someren,m-someren1,11948129,136109
00106912,Lisa White for Wisconsin,Lisa Rose White,l-white1,11946761,136241
00106875,Henderson 4 Wisconsin,Jessica Henderson,j-henderson1,8110596,135900
00106865,LaToya Bates for State Assembly,LaToya Bates,l-bates1,1149791,136112
00106870,FosterProgress,Jeff Foster,j-foster1,1149787,135566
00106864,Friends of Alexia Unertl,Alexia Unertl,a-unertl1,1149779,135707
00106854,Joshua Steven Kelley for 69Th,Josh Kelley,j-kelley1,11932682,135618
00106859,Kostka for Assembly,Frank Kostka,f-kostka1,1170162,135321
00106847,Shirley Hinze for 6th Assembly,Shirley M. Hinze,s-hinze1,1149763,136062
00106840,Tim Paterson for the 54th Assembly,Tim Paterson,t-paterson1,8110587,135621
00106839,Friends of Mike Moeller,Mike Moeller,m-moeller1,2154126,136065
00106838,Jack Holzman for Wisconsin,Jack Holzman,j-holzman1,843212,135125
00106845,Halls for Wisconsin,Roger Halls,r-halls1,1149741,136346
00106834,Friends of Dylan Testin,Dylan Testin,d-testin1,10795942,136131
00106827,Goodwin for Assembly,"Russell Antonio Goodwin, Sr.",s-russellantoniogoodwin1,1149729,136286
00106822,Citizens for Karen DeSanto,Karen DeSanto,k-desanto1,16487,135223
00106818,Friends of Michele Skinner,Michele Magadance Skinner,m-skinner1,1704858,135517
00106810,Karen for Assembly,Karen Kirsch,k-kirsch1,999194,135376
00106817,Knodl 4 Wisconsin,Dan Knodl,d-knodl1,664207,135744
00106815,McCrank for the People,Elizabeth McCrank,e-mccrank1,1149722,135778
00106809,Stroud for Wisconsin,Angela Stroud,a-stroud1,16446,135215
00106798,Lindee For WI Assembly,Lindee Brill,l-brill1,1717424,135607
00106795,Dana for Wisconsin,Dana Glasstein,d-glasstein1,843082,136072
00106796,Sheehan for 26th Assembly,Joe Sheehan,j-sheehan1,16434,135205
00106794,Friends of Angelina Cruz,Angelina M. Cruz,a-cruz1,16430,135872
00106790,schnitzler for assembly,Cedric Schnitzler,c-schnitzler1,1927630,135870
00106786,Friends of Amaad Rivera Wagner,Amaad Rivera-Wagner,a-riverawagner1,16408,135531
00106787,Sequanna Taylor 4 Wisconsin,Sequanna Taylor,s-taylor1,999181,135901
00106782,FRIENDS OF PRISCILLA A. PRADO,Priscilla A. Prado,p-prado1,999177,135353
00106778,friends of lee whiting,Lee Whiting,l-whiting1,7620603,135992
00106775,Phelps Campaign,Christian Phelps,c-phelps1,16364,135617
00106771,Yee For WI,Yee Leng Xiong,y-xiong1,16341,136095
00106768,Franklin For Wisconsin,Ben Franklin,b-franklin1,664158,135359
00106767,Alicia Saunders for Wisconsin,Alicia Saunders,a-saunders1,843024,135943
00106770,Phillips for Wisconsin,Anthony W. Phillips,a-phillips1,5202401,135218
00106758,Duke for Wisconsin,Duke Tucker,d-tucker1,15635,135753
00106756,Friends of Renee Paplham,Renee A. Paplham,r-paplham1,843162,135146
00106754,Mayadev For Wisconsin,Renuka Mayadev,r-mayadev1,1149237,135508
00106747,Jim For Wisconsin,Jim Piwowarczyk,j-piwowarczyk1,6622927,135360
00106742,Committee to Elect Randy Udell,Randy Udell,r-udell1,1149184,135495
00106740,DeSmidt For Wisconsin,Ben DeSmidt,b-desmidt1,15509,135174
00106737,Ann Roe For Wisconsin,Ann Roe,a-roe1,1149157,135442
00106731,Friends of Vincent Miresse,Vinnie Miresse,v-miresse1,16538,136192
00106727,Ryan Spaude for Assembly,Ryan Spaude,r-spaude1,16271,135865
00106718,Joan Fitzgerald for Assembly,Joan Fitzgerald,j-fitzgerald1,16212,135107
00106702,Harbridge for 74th Assembly District,Scott Harbridge,s-harbridge1,9169757,136083
00106699,Emily Tseffos for Wisconsin,Emily Daniels Tseffos,e-tseffos1,843353,136355
00106685,Arney for Wisconsin,Margaret Arney,m-arney1,613274,136106
00106655,Friends of Steve Rydzewski,Steve Rydzewski,s-rydzewski1,11802954,136406
00106637,People for Doelder,Steven J. Doelder,s-doelder1,1147712,135327
00106631,Friends For Bob Look,Bob Look,b-look1,1147691,135510
00106621,Friends Of Matt Brown,Matt Brown,m-brown1,1147683,135326
00106600,Friends and Neighbors of Amanda Nedweski,Amanda Nedweski,a-nedweski1,30346,135858
00106582,Friends Of Darrin,Darrin Madison,d-madison1,999262,
00106583,Friends of Brienne,Brienne Brown,b-brown1,1147635,136004
00106573,Sapik for Senate,Angie Sapik,a-sapik1,16865,135790
00106564,McCarville for Assembly,Maureen McCarville,m-mccarville1,16847,135145
00106563,Hysell for Assembly,Andrew Hysell,a-hysell1,1147623,135887
00106550,Clancy for Assembly,Ryan Clancy,r-clancy1,999244,136376
